customer_id,total_orders
2,11
3,11
9,7
10,9
15,7
16,11
23,9
30,6
35,5
37,8
38,7
41,6
45,6
48,13
51,9
53,7
56,10
58,11
71,7
72,7
76,6
77,9
81,10
83,6
93,14
96,9
100,10
101,8
103,11
110,12
117,12
119,9
121,14
125,5
130,15
135,7
136,10
140,11
141,5
147,15
148,19
149,15
150,12
153,13
156,10
158,7
159,9
162,9
163,14
171,7
175,5
180,9
185,10
193,10
194,5
195,10
196,14
204,15
206,4
209,6
225,11
231,13
233,10
236,12
238,15
240,15
241,8
243,6
245,10
246,12
247,15
250,7
251,10
257,11
261,8
262,13
272,9
274,14
280,11
282,19
283,7
290,14
294,7
295,6
299,17
301,14
303,9
306,11
307,14
310,9
317,15
319,12
325,6
326,10
330,15
332,7
333,11
335,14
337,16
340,17
341,7
347,11
349,9
354,10
361,12
368,9
371,8
374,9
375,9
384,5
387,11
390,15
391,10
392,9
393,12
394,7
396,9
406,11
408,11
414,15
418,15
420,5
421,8
422,10
424,8
425,10
426,14
435,7
442,9
445,9
449,11
451,15
452,11
453,12
455,9
458,12
467,9
468,4
471,10
473,14
474,10
477,7
481,6
484,11
485,13
495,11
496,12
497,11
500,9
502,11
508,13
509,7
510,13
511,8
514,8
515,13
520,7
521,17
522,10
527,14
531,12
539,12
544,7
547,8
552,7
553,12
555,10
556,8
557,8
560,6
563,14
565,10
566,7
580,9
586,7
589,11
594,11
598,9
602,10
605,7
614,6
621,12
622,9
624,9
625,10
633,6
635,6
636,7
638,12
639,7
641,9
642,5
643,13
644,9
646,10
647,5
649,11
652,9
654,14
655,9
662,4
664,14
666,16
668,10
671,12
674,4
675,10
676,9
680,2
683,12
691,11
694,7
695,11
698,8
699,8
700,7
701,12
703,8
707,8
710,7
711,11
715,14
716,6
717,11
721,10
723,12
727,6
734,7
736,8
740,10
744,8
747,8
749,15
761,6
763,6
765,9
775,10
778,11
779,9
782,10
792,8
795,8
796,9
798,8
801,13
803,10
807,13
809,6
812,5
819,22
822,14
831,11
841,12
845,12
853,16
855,11
857,7
858,9
859,11
862,7
872,13
875,10
877,3
884,8
885,11
886,14
887,7
891,14
895,4
901,9
902,5
903,7
904,8
910,13
917,10
918,10
924,19
928,7
931,12
934,10
935,15
936,10
937,8
938,8
947,13
949,10
950,11
954,14
956,14
961,11
964,8
968,9
970,13
972,13
974,6
977,8
978,16
980,14
994,11
997,12
