customer_id,total_orders
1,8
10,11
11,5
14,11
17,18
21,6
23,10
27,7
33,7
34,14
36,13
41,17
42,8
48,10
50,9
55,8
57,7
58,8
65,12
77,8
82,12
88,8
91,7
93,7
104,8
107,14
113,11
114,8
116,12
119,12
120,20
121,8
130,10
140,9
141,6
151,9
152,14
154,8
156,4
159,10
160,8
161,16
165,8
169,8
170,8
173,5
176,13
182,7
192,11
194,14
196,12
199,9
202,19
206,11
218,10
223,11
229,9
230,9
233,14
236,4
239,6
241,18
242,13
243,8
245,11
246,9
248,11
250,9
256,7
259,5
260,14
262,15
266,18
269,2
270,6
273,12
276,11
278,9
283,5
289,12
294,14
296,9
297,13
302,8
307,8
312,8
313,7
316,10
320,10
321,8
322,8
330,11
332,11
334,10
340,8
345,12
347,10
348,10
350,14
354,12
355,8
361,8
362,8
368,14
369,10
372,9
373,11
375,8
387,8
388,9
389,8
394,10
399,14
400,11
402,9
405,9
406,8
407,6
411,13
419,7
420,6
423,10
437,6
438,9
439,10
443,13
446,12
447,12
458,10
469,16
471,14
477,15
478,6
480,7
482,10
484,7
487,9
489,8
490,9
491,18
495,7
497,21
498,12
501,9
504,15
512,9
515,8
517,13
518,10
519,7
520,12
530,11
535,9
540,15
541,11
553,16
555,11
556,15
557,10
558,10
559,12
560,9
562,10
568,13
569,8
570,15
577,15
579,7
580,9
582,5
584,11
588,6
593,8
597,8
598,11
604,11
606,6
612,9
615,8
616,7
620,7
622,16
624,10
626,8
627,9
628,10
629,11
645,5
652,8
655,8
658,15
659,10
661,15
666,9
674,10
675,11
677,9
679,7
680,12
682,11
688,7
690,12
692,9
695,10
700,11
702,14
705,10
706,8
707,11
708,11
712,9
717,9
718,10
720,12
721,10
724,5
737,12
738,17
741,9
755,7
757,8
767,13
771,14
774,11
779,8
781,11
782,7
785,11
786,13
787,8
791,8
793,12
794,5
797,12
798,5
803,9
805,8
807,11
808,14
826,10
830,11
834,11
835,10
837,14
839,9
841,12
842,8
844,10
845,6
846,12
850,7
855,17
857,8
859,7
861,5
862,8
868,8
870,9
879,11
883,14
886,7
888,11
893,9
894,4
898,10
900,6
905,10
908,11
910,8
917,7
920,12
921,11
923,5
925,9
926,9
